pkg_name,max(vercode)
air.com.pixelstudio8.venom.angry.crash.rush.io.online,1000001
air.com.playtika.cvs,105200399
air.com.playtika.slotomania,294000041
air.com.pozirk.allinonemahjong,1004001
air.com.pozirk.allinonesolitaire,1007006
air.com.ppllaayy.tfqsports,1005001
air.com.prisma.bts,1009007
air.com.puffballsunited.escapingtheprison,1002002
air.com.puffballsunited.stealingthediamond,1000003
air.com.qublix.forestrescue,6000000
air.com.qublix.forestrescuetwo,2006000
air.com.r2gamesusa.clickerheroes,2006004
air.com.ragdoll.achievement,1004004
air.com.readysquare.scsm,9003
air.com.rockyou.cake.gp,5004001
air.com.rosettastone.mobile.CoursePlayer,50502659
air.com.scaryama.canyourpet2,2060014
air.com.secretbuilders.HiddenObjectGames.valleyOfFear2Free,2001023
air.com.sgn.bingo.google,3004019
air.com.sgn.bookoflife.gp,3062107
air.com.sgn.cookiejam.gp,5050115
air.com.sgn.cookiejamblast.gp,3080134
air.com.sgn.familyguy.gp,2000027
air.com.sgn.juicejam.gp,2020004
air.com.sgn.paintmonsters.gp,1033104
air.com.sgn.pand,2009048
air.com.skhataksmakaktakshnininfash.tsankahdaf,3000000
air.com.slotgalaxy,3006007
air.com.smileydressup.fairydressup,5000000
air.com.smileygamer.christmassweeper3,3200500
air.com.spicerackmedia.bingoshowdown,2009001
air.com.spilgames.TrollFaceQuestClassic,1003001
air.com.spilgames.TrollFaceQuestHorror,1001001
air.com.spilgames.TrollFaceQuestInternetMemes,1005002
air.com.spilgames.TrollFaceQuestTVShows,1005003
air.com.spilgames.TrollFaceQuestVideoGames,1006002
air.com.spilgames.TrollFaceQuestVideoGames2,1002003
air.com.spilgames.TrollFaceQuestVideoMemes,1006002
air.com.spilgames.trollfacequesthorror2.scary.adventure,9001
air.com.spilgames.trollfacequestunlucky,1004001
air.com.stardoll.access,1006013
air.com.starfall.more,1035023
air.com.sublinet.tastytale,29003000
air.com.sublinet.witchyworld,9090000
air.com.sulake.habboair,2022057
air.com.supermechs.superapp,5911000
air.com.tamalaki.homemakeoverfree,1003037
air.com.tedven.escapethroughhistory,1009000
air.com.tedven.worldescape,1004000
air.com.tedven.youmustescape,2001000
air.com.tedven.youmustescape2,1008000
air.com.tensquaregames.letsfish,404180100
air.com.tinychat.mobile,62900460
air.com.toystudio.casinotower,4005002
air.com.triviador.trhu,1108001
air.com.triviador.trro,1108001
air.com.triviador.trtr,1000055
air.com.turbonuke.dirtbikeracing,1012004
air.com.turner.boomerangmakeandrace,1005000
air.com.tutotoons.app.animalhairsalon,3000003
air.com.tutotoons.app.animalhairsalon2jungle.free,2000001
air.com.tutotoons.app.babyhouse,3000005
air.com.tutotoons.app.babyjungleanimalhairsalon.free,3000001
air.com.tutotoons.app.closetmonsters,3000002
air.com.tutotoons.app.fashionshowtopmodeldressup,1000041
air.com.tutotoons.app.littlewitchesmagicmakeover.free,3000001
air.com.tutotoons.app.mycutedogbella.free,3000004
air.com.tutotoons.app.powergirlssupercity.free,2000019
air.com.tutotoons.app.princesshorseclub2.free,2000013
air.com.tutotoons.app.princesshorseclub3.free,3000002
air.com.tutotoons.app.sweetbabygirl,3000003
air.com.tutotoons.app.sweetbabygirlbeautysalon,3000017
air.com.tutotoons.app.sweetbabygirlchristmas2.free,2000002
air.com.tutotoons.app.sweetbabygirlcleanup4.free,3000002
air.com.tutotoons.app.sweetbabygirldreamhouse2,2000019
air.com.tutotoons.app.sweetbabygirlhalloweenfun.free,3000002
air.com.tutotoons.app.sweetbabygirlsummerfun.free,2000055
air.com.tutotoons.app.sweetbabygirlsummerfun2.free,3000019
air.com.ubisoft.csi.HiddenCrimes,2060003
air.com.viber.fruitadventure,1208000
air.com.vikrams.telugucalendar2014,1004005
air.com.vudu.air.DownloaderTablet,1005007
air.com.wheelie,1005
air.com.wheelie7,1005001
air.com.wheelie8,1002002
air.com.winkypinky.gardendecoration,2001002
air.com.yazino.android.slots,7000024
air.com.youdagames.google.ww.gop2MobileFree,3000010
air.com.youdagames.gop2mobilefreemium,3000010
air.com.zanorg.lesjeuxchiantsgratuit,1006044
air.com.zitro.labs.mobile,300003310
air.conga,1000005
air.cookingyardrestaurant,3001000
air.cumaceban.com,100000014
air.cz.cfc.androidgp.AbbyBasicSkillsLite,3000005
air.cz.cfc.androidgp.LaptopLite,1002000
air.de.fahren_lernen.app,4001291
air.de.intenium.rats,3022000
air.de.rgerlach.skatpalast,33025033
air.deta,1004169
air.diner.restaurant,1001000
air.dolldressuplucky,2003000
air.e2applets.ironpants,1501011
air.endlessescape,1001006
air.eti.uzzu.unalis,4003002
air.eu.bandainamcoent.asterixandfriends,181024012
air.fisherprice.com.Puppy,26000000
air.fisherprice.com.animalsounds,24000000
air.fisherprice.com.puppynose,24000000
air.fisherprice.com.shapesAndColors,27000000
air.fizizi.CookingTastyWeddingCake,2007000
air.fizizi.MessyHouseBedroomCleaning,7006000
air.fizizi.PrincessDollFashionDressUpGames,6006000
air.fizizi.PrincessDressUpFashionGames,6005000
air.fizizi.PrincessDressUpPromSalon,4005000
air.fizizi.PrincessMakeupNewYearstyle,1006000
air.fizizi.PrincessPromDressUpGames,9003000
air.fizizi.PrincessSpaSalonDressUpGames,5007000
air.funmily.KillerFlashMobile,2040000
air.hairnailandmakeup,3000005
air.hello,1004000
air.ie.capture.fisherprice,28000000
air.ie.capture.fisherprice3,28000000
air.infurerpgkuesuto,1004006
air.jp.funkyland.AliceHouse,2001000
air.jp.funkyland.CandyRooms,2002000
air.jp.funkyland.FruitKitchens,2001000
air.jp.funkyland.GirlsRoom,2001000
air.jp.globalgear.kaihi,2000002
air.jp.globalgear.kikai,3005000
air.jp.ne.hap.kurukuru,1000005
air.jp.ne.hap.mom2,1000002
air.jp.ne.hap.purin,1000003
air.jp.ne.hap.tdb,1000007
air.kazi,1005000
air.kengineairpro,1000019
air.ldGamesStudio.BeautyMakeupAndNailSalon,1002000
air.ldGamesStudio.HeartWeddingCakeCooking,1004000
air.ldGamesStudio.MallShoppingSummerFashion,1004000
air.ldGamesStudio.PrincessFashionBeautySalon,1001000
air.ldGamesStudio.RoyalPrincessPromDressUp,3004000
air.lprastudio.ShoppingMallAndDressUp,2000005
air.manavbasla26yeniandroid,1000012
air.mexicorexandro001,1001000
air.miamirexandro001,1000005
air.minikoyuncu.com.Ironing,1000010
air.mommyandmemakeoversalon,1002006
air.mutantfightingcup,1004002
air.mwe.cookingcuteheartcupcakes,5000015
air.mwe.cookingsoftiesugarcookies,5001015
air.mwe.cookingstrawberryhazelnuttart,5001015
air.mwe.delicioushotspicypizza,5000015
air.net.Gamescleaning.nirakanodoba,5000000
air.net.chicworld.fantasyicecreamland,1000006
air.net.chicworld.labradorpuppydaycare,1001003
air.net.cleanin2ggame.cleaningnet,10000000
air.net.endemolgames.flyingteddy,1000053
air.net.lol.genioquiz,3000008
air.net.thedigitalsits.molfar.prankcalldial,4004102
air.nn.mobile.app.main,2022010
air.nyrexandro001,1001000
air.org.axisentertainment.BabyHazelBeachHoliday,2009000
air.org.axisentertainment.BabyHazelChristmasDream,2008000
air.org.axisentertainment.BabyHazelCookingTime,2003000
air.org.axisentertainment.BabyHazelDentalCare,5001000
air.org.axisentertainment.BabyHazelDoctorPlay,3000000
air.org.axisentertainment.BabyHazelEarthDay,2005000
air.org.axisentertainment.BabyHazelFancyDress,2005000
air.org.axisentertainment.BabyHazelFarmTour,2004000
air.org.axisentertainment.BabyHazelFashionStar,2005000
air.org.axisentertainment.BabyHazelFishingTime,2004000
air.org.axisentertainment.BabyHazelFlowerGirl,2008000
air.org.axisentertainment.BabyHazelHairDay,2007000
air.org.axisentertainment.BabyHazelKitchenTime,3001000
air.org.axisentertainment.BabyHazelNewbornBaby,5007000
air.org.axisentertainment.BabyHazelPetHospital,2005000
air.org.axisentertainment.BabyHazelPreschool,2005000
air.org.axisentertainment.BabyHazelPreschoolPicnic,3000000
air.org.axisentertainment.BabyHazelRoyalBath,2006000
air.org.axisentertainment.BabyHazelSchoolHygiene,2006000
air.org.axisentertainment.BabyHazelSiblingCare,3004000
air.org.axisentertainment.BabyHazelStomachCare,3008000
air.org.axisentertainment.BabyHazelTomatoFarming,2004000
air.org.babyhazelgames.BabyHazelBrushingTime,2003000
air.org.wgbh.martha.wordspinner,1002000
air.parisrexandro001,1003000
air.pool.billiards.v1d,4003000
air.princessroomdecoration,1001002
air.ru.crazypanda.wpcm,1112020
air.ru.igrosoft.gamecocktail,1005048
air.ru.mail.games.pokerarena,1014036
air.ru.pragmatix.wormix.mobile,1091011
air.ru.sc72.hm2,1001001
air.ru.underair.city2048,1003007
air.sc,1006001
air.sl2,10050054
air.thix.sciencesense.beaker,23000000
air.timuzsolutions.carracing,1000007
air.timuzsolutions.cartransporter,3000003
air.trickytest,4001000
air.tv.avix.thumbfighter,9003
air.tv.avix.turnright,1008015
air.tw.com.bonuswinner.bwmj16tw,2029001
air.u.live.video.chat,402065003
air.uk.co.bbc.android.mediaplayer,3001012
air.vg.pyramid,1000009
air.vitality.nationaldefense,1004005
air.yaycom.emergencytrucks.lite,1002004
air.za.gov.sars.efiling,1008052
ajit.news.paper,8
ak.alizandro.smartaudiobookplayer,15412
ak.cubescraft2hd,7
akunososhiki.app.slashHero,8
akunososhiki.app.starVanisher,21
akunososhiki.app.starVanisherS,21
al.trigonom.shkruajnumrat,53
al.trigonom.writelettersAE,37
al.trigonom.zahlenschreiben,24
alexcrusher.just6weeks.pushups,60
ali.alhadidi.gif_facebook,9
ali.sayed.quran,7
alimastudios.baby,1103
all.in.one.calculator,171
all.in.one.photo.math.calculator,39
all.latest.hindinews,8
all.video.downloader.allvideodownloader,7
alpacasoft.restoreimage,54
alpha.aquarium.free.livewallpaper,17
alpha.aquarium.hd.livewallpaper,9
alr7al.com.islamic.duaa,9
altergames.intellect_battle,2083
altergames.recreverse,161
amanita_design.samorost3.GP.demo,1468015
amazing.photoshop.images,4
ammanify.apps.auto_athkar,24
amplified.bible,8
amuseworks.thermometer,39
an.ArabTranslate,92
an.ElectricalEng,99
an.FilipTranslate,84
an.FrenchTranslate,81
an.HindiTranslate,84
an.KoreaTranslate,67
an.MalayTranslate,99
an.MexicanTranslate,8
an.PortTranslate,81
an.RussianTranslate,98
an.SpanishTranslate,99
an.TagalogTranslate,68
an.TurkTranslate,170
and.onemt.boe.tr,9
and.onemt.dk.ar,39
and.onemt.war.ar,87
and.onemt.war.en,69
and.p2l,87
andrei.brusentcov.schoolcalculator.free,8
android.uniwar,114021
androidcode.in.th.Handwrite,34
androidesko.android.electronicthermometer,3
androidlab.allcall,181029
androidx.info.speedcalc,139
anews.com,73
angel.engmp3tube,2
annguyen.nghenhacmp3,99
another.music.player,88
ansa.app,33
antivirus.security.virus.removal.clean.cache.cleaner.master,8
aoki.taka.passzip,465
ap.recovermydeleted.photos,5
aplicacion.tiempo,256
app.alpify,57
app.bpjs.mobile,9
app.cobo.launcher,20409
app.desidime,814172
app.diaryfree,7063
app.filtereffect.crown,10
app.follow.unfollow,1
app.fotopalabra,81
app.free.dictionaryeva,7
app.greyshirts.firewall,41
app.horoscope1_5.com,49
app.hungnv.com.hdwallpaper,8
app.isletdevelopers.com.indiacapitalcities,6
app.kr.go.bokjiro,330
app.manoth.fahsai,96
app.melon.icompass,31
app.nl.socialdeal,200803
app.paper.origami.diy.life.hacks,2
app.qrcode,93
app.quiktrip.com.quiktrip,587
app.real.flashlight,29
app.rosario.it,1620
app.source.getcontact,48
app.tools.phone.automatic.callrecorder,9
app.via,58
app.whats.textstyle.com.textstyler,6
app.ym.sondakika,96
app.zenly.locator,60
app.zophop,82
app2.boas,368
appinventor.ai_agiapplications.CountYourSteps,9
appinventor.ai_created4each.My_Diary,79
appinventor.ai_enfandroid.mente,26
appinventor.ai_hamada_yousef_o.MP3Quruan_2,34
appinventor.ai_malighufron.Translator,4
appinventor.ai_nels0n0s0ri0.MiRutina,70
appinventor.ai_nightclubtorino.Navigator,9
appinventor.ai_obida_alquraan.Today_Matches,47
appinventor.ai_progetto2003.SCAN,7
appinventor.ai_rodrigo2017.CantoColeiro,8
appinventor.ai_rodrigo2017.cantodepassarosbrasileiros,7
appli.speaky.com,907
appliedlife.pvtltd.SHEROES,65100
appplus.mobi.lockdownpro,98
appremake.carracingfree,43
apps.br.intelitempos,9
apps.how.learn.draw,9
apps.redpi.touchscreenrepair,9
apps.yamayka.beautifulhair,8
appstore.game.missingwordwaslatt,8
aprender.tablasdemultiplicar,8
ar.bapro,43
ar.com.agea.gdt,87
ar.com.develup.pasapalabra,51
ar.com.kinetia.ligaargentina,90
ar.com.moula.zoomcamera,71
ar.com.personal,5
ar.com.santander.rio.mbanking,6
ar.com.soodex.ahorcado,96
ar.gob.buenosaires.comollego,5701
archery.elite.shooting.free.game.android,2350
ardent.androidapps.callerinfo.views,86
areamovil.aviancataca,7
armworkout.armworkoutformen.armexercises,5
arproductions.andrew.worklog,45
arrasol.ailatrieuphu,27
arrow.background.eraser,31
arrow.cutpaste.photos,21
arrow.myphoto.keyboard,32
arrow.passcode.lock,30
artline.com.galaxy,97
arz.islamiceventmanager,49
asd.kids_games.abstract_game.princess_wings,9
asd.kids_games.princess_7_zigzag,9
asd.kids_games.princess_dragon_cave,9
asia.coins.mobile,441
asuk.com.android.app,94
at.bluesource.mobilepocket,97
at.markushi.expensemanager,21
at.modalog.shooter.sniper,6705
at.ner.lepsWorld2,9
at.ner.lepsWorld3Plus,622
at.nerbrothers.SuperJump,702
at.nk.tools.iTranslate,516
at.paysafecard.android,9
at.tmobile.android.myt,94
at.tomtasche.reader,66
at.willhaben,962
ata.squid.kaw,247
ata.squid.pimd,89
atozanimalname.coreinterface.in.atozanimalname,5
atpwta.live,65
atticlab.ScaryMazedGame,6
au.com.cricket,47
au.com.espace.dots.alphaNum,9
au.com.espace.mosaic.various,1
au.com.nab.mobile,9
au.com.oddgames.monstertruckdestruction,85
au.com.penguinapps.android.babyfeeding.client.android,92
au.com.penguinapps.android.babyphone,74
au.com.penguinapps.android.match,66
au.com.penguinapps.android.readsentences,9
au.com.phil.minedemo,20
au.com.qantas.qantas,9
au.com.realestate.app,1810009287
au.com.revheadz.revheadz,5
au.com.seek,82
au.com.weatherzone.android.weatherzonefreeapp,89
au.gov.dhs.centrelinkexpressplus,96
au.gov.dhs.expressplus.medicare,27
audio.converter.video.cutter.mp3.cutter,31014105
audio.mp3.free.music.player,131
audio.mp3.mp3player,8
audio.mp3.music.player,280
audio.sound.effect.bass.virtrualizer.equalizer,9
audio.virtualizer.equalizer.bassbooster.musicplayer,161
audiocutter.videocutter.audiovideocutter,2
aul.irm.triviados,97
aup.baixar.musicas.gratis,3
avidly.pet.alliance.gwxlm,17
aws.apps.networkInfoIi,60
aws.apps.wifiKeyRecovery,8
az.ustad.millioner,2441
az.ustad.yenimilyoner,2424
ba.lam.tribalmania.arabic,30
ba.lum.tribalrivals.arabic,74
ba.pik.v2.android,170
baby.com.naniteremorni,39
badboy.mp3world,8
badminton.king.sportsgame.smash,3333911
balck.white.blackboard,10109
